review,Used it for,Owned for,Ridden for,rating,Visual Appeal,Reliability,Performance,Service Experience,Extra Features,Comfort,Maintenance cost,Value for Money,Model Name
We all checked the bike's capacity to be 150 km's ( for 1 full charge). now its given only 80 who the hell wants to pay 1 lakh for just 80 km's. We don't need max speed for 70 km. Just 40 km/hr. is more than enough. For better safety. How many accidents need to happen . Worst experience if you expect me to say. Felt cheated.,Daily Commute,Never owned,,1,3,4,,,,4,,1,TVS iQube
Performance is very poor on this bike. The charging problem is a very big thing. Worth money. Don't spend the money on this bike. My bike is standing in the service center of tvs iqube for a long time. I am very disappointed. Nobody can hear me because I purchased this bike. I want to sell this bike as soon as possible.,Everything,> 1 yr,< 5000 kms,1,3,1,,1,,3,,3,TVS iQube
"I purchased this in April 2022 and the sales staff was clueless about the new vehicle launch in May 2022. I asked specifically if there is a new model coming but they had no idea.
The scooter is well built and has good features but compared to other ev scooters, it lacks a lot. The most important lacking is its range. The offered range is 75 km/charge but the real range in eco mode is approx 50km. It's a huge setback considering there are models in other brands which cost the same but offer a better range. I would advise anybody looking to buy this vehicle to first consult with existing owners.",Daily Commute,< 3 months,< 5000 kms,3,4,4,,2,,5,,2,TVS iQube
If any issues come in scooty parts not available at service centre & waiting time of part approximately 2 to 3 month come. I had bought this scooty & I show the service centre many of scooty come many problems & machine says the part is not available right now at service centre & part not provide tvs company waiting time from the company side of parts 2-3 month.,Daily Commute,6 months-1 yr,5000-10000 kms,1,1,1,,1,,1,,1,TVS iQube
"Don't buy this vehicle unless you have a near by tvs iqube service center. You will not get service in any other tvs service centers and there is not many service centers over the country. And you will lose your warranty benefits for any delay in servicing the vehicle.
Once you braked the vehicle in a traffic signal, there is delay in releasing the break and moving the bike.",Daily Commute,6 months-1 yr,< 5000 kms,1,3,4,,1,,3,,2,TVS iQube
"First 7k kms no issues.
Later rear wheel had a bend had to wait for nearly 3 months to get the entire engine assembly replaced as only the rim cannot be removed.
After that rode for 400 kms bike suddenly stopped. Called road side assistance was informed as the bike is more than 1 year they would charge 1600 rs for mere 4 kms, took my bike myself was informed the electric coil is burnt and will not be covered under warranty fought again and was informed that it would be done in warranty. Now the bike is in service center for more than 20 days.",Daily Commute,> 1 yr,5000-10000 kms,1,5,1,,1,,5,,2,TVS iQube
"The tvs iqube is supposed to be a game changer for tvs in its ev debut but sadly it is let down by step motherly treatment by tvs itself.
Buying was problematic as tvs as chosen only 4-5 showrooms in all of bangalore to sell iqube. For some reason, showrooms are not enthusiastic about giving test ride, following up, picking calls etc. All the push needs to come from the customer side till they get vehicle delivery. Looks like tvs itself in not eager about selling iqube in big numbers.
The iqube rides very well in city conditions and like a very conventional scooter minus the petrol engine noise and vibrations. No complaints there. No hassles with pillion rider either.
Build quality is not great ..Plastic feel throughout and not the nice kind as well. Gaps between panels are clearly visible. The key fob is a prime example of giving flashiness the upper hand over quality. Mine simply split into two after a few days.
Charging time takes 6-7 hours for 10% to 100% and gives upto 75km riding distance. Good for short distance rides. Charger price is extra, which is plain dumb considering every ev should have a charger in its package. The most cheapest electronic product ships with a charger and tvs chose not to. Clearly the accessory pays more gimmick. Also charging point needs a good earthing presence else vehicle cannot be charged. You will not find this mentioned in showroom.
Vehicle maintenance is not much, just keep tires inflated and use water to clean and that's all it takes.
But the onus is on the owner to keep the vehicle problem-free because iqube service centers are very few and you cannot get it repaired in local garages. You are at the mercy of the tvs service center which can repair it. Tvs having so much local presence already should have at least ensured that iqube can be repaired at any service center. Again this feels deliberate. My nearest service center for iqube is nearly 15 km away but there are more than 8 tvs service centers on the way which do not deal with iqube. Also spares are not compatible with any of their other products.
Another thing is that tvs itself seems perplexed with many of the random things that the scooter does. My vehicle shows up with a ""close throttle warning"" at starting and tvs has not been able to tell why that comes and what the solution is. The only so called solution is to twist the throttle and leave it and hope the warning goes away. Clearly the sensor calibration is what the issue is but they want customer to change the way they drive to solve their problem. I have heard another user say sometimes the battery indicator shows 0% even if there is enough charge and need to restart the vehicle.
Pros:
- decent ev for someone whose daily travel is 50km and has charging facilities at home.
- very good motor. Zippy, zero noise, responsive.
- great handling and suspension and good ground clearance.
- not complicated to use at all even with lots of electronic features.
- easy to maintain.
Cons:
- reliability - range anxiety of ev aside, you never know which sensor might get knocked off on the iqube and the vehicle gets bricked (keep towing services number handy). Tvs should do more customer interaction to know the regular problems faced by users and only then they can solve.
- serviceability is poor. Customer service almost has no knowledge of the scooter working and their only response is to ask the service center to call you.
- takes way to long to charge.
- there is no concept of software upgrade. Awful app.
There is a lot of work for tvs to do with iqube if it wants to be considered a serious ev player. Otherwise, this model will just be a footnote in the ev revolution.",Occasional Commute,6 months-1 yr,< 5000 kms,3,3,2,,2,,4,,3,TVS iQube
"I brought iqube in march 2021 used for about 1400 kms and the motor is dead, The vehicle was dropped at prn motors and its been 25 days now and still the replacement is not done, the display is a waste in the bike, Maps don't work, at least clock I expected and that too is not working. Totally I wasted on such a waste bike. Please don't buy ev scooters with motor in wheel its always a headache.",Daily Commute,< 3 months,< 5000 kms,1,3,1,,1,,2,,1,TVS iQube
"Buying experience - Chennai on road price is 115580/- but they are charging hefty amount on charger cable. Simple charger cable with industrial socket they have priced it as Rs.8260 which should be priced only Rs.2000/- to Rs.3000/-. Tvs has maintained vehicle price equal to competitor but huge margin in chargers and accessories.
Ride comfort with pillion is good and it can be used only for fixed distance usage, like only commuting to office and back to home.
When 100% charged vehicle pick up is good and top speed achieved under power mode 84 km/h, in eco mode top speed is only 52 kmh. But when the power is at less than 70%, eco mode top speed is 44 to 46 km/h only. As per my experience under combination eco & power mode 68% and 32% respectively, the range achieved is 71.9 km with balance 9% charge which shows distance to empty is 7km so approx. total range is 78.9 km. The above range is with regenerative option but we could not see how much regenerative power generated in %, app do not provide any data
Very poor app design and bt connectivity issue continues and reports are not generated for a selected period.
Unnecessarily head light is permanently ""on"", even thought there is one drl, horn sound is worst and not good. They should provide ntorq horn which is louder and good.
Charging time is huge and it takes 6 hours to charge from 9% to 100%, tvs should come out with replaceable battery at least for the under seat battery so we can buy one spare battery and we can use it as reserve power back up option.
The app should provide the details for every trip how much power % consumed and while charging it should provide how much units consumed for every charge
Servicing and maintenance experience not able to comment we have wait and watch, tvs should provide improvements as stated above once they fix the issue to all existing customers especially removable battery option.",Daily Commute,< 3 months,< 5000 kms,3,3,3,,3,,4,,3,TVS iQube
"Hello,
I purchased tvs iqube in march 2021, it has run 3000 km for 3 months and now there are many problems related to the speed, motor and several other problems. Full battery charging takes 6-7 hours, not satisfied by its performance, also still there are no proper service stations setup to solve the problems. Especially the service station at ramurthinagar, bangalore is very horrible. They don't even respond to our problems.",Daily Commute,3-6 months,< 5000 kms,2,5,3,,1,,4,,3,TVS iQube
