Review,Rating,Attributes Mentioned,Model
"Using it for the last 1 month. It's a gentle-looking beast. The pickup power is amazing. I tried 2 competitions cars in this segment. This is the best. Refined and well built, and superior performance. The Audio system is better than a premium car segment. The Bluetooth connectivity to stream all music from a phone, music a...",5.0,"['mileage' 'performance' 'power' 'price' 'seat' 'driver' 'audio'
 'bluetooth' 'music' 'pickup' 'speed']",hyundai kona
"In the beginning, the car performed excellently well, but after 4 months the mileage on a full charge steadily reduced, and finally, it would not start at all. After paying a hefty amount for this car l am left without a vehicle and the Hyundai service people assured me that would send a replacement vehicle which they kept postponing with lame excu...",1.0,['mileage' 'performance' 'service' 'parts'],hyundai kona
Hyundai is the best performing company beating all other vehicles. Hyundai is the first choice of people at present providing best services to its customers. Hyundai in electric segments of cars will beat all-electric cars of other companies and will set new level standards. It will be the first choice of people of New India.,5.0,['performance' 'service'],hyundai kona
The car offers reasonable performance in this range. I hope the price of the car is kept at or around Rs 20 lakh. It can be a very good option for those who drive around 12000 km a year with fewer outstation trips.,5.0,['performance'],hyundai kona
"Hyundai Kona - First electric car of India was REVA but it was a very compact two-seater car with very odd design, it failed because of lack of R&D by the company's team. But Hyundai Kona Electric is an elite vehicle and it will attract n number of customers. The charging station will boost the sales of Hyundai. Those who are habitual of a manu...",4.0,"['looks' 'comfort' 'interior' 'price' 'insurance' 'driver' 'exterior'
 'automatic' 'manual' 'transmission']",hyundai kona
"Hyundai Kona is the 1st SUV to run in India with electricity. Its design is of another level just like a futuristic concept model. It's just smaller than Creta in size. But it looks big. Near the bonnet, we can see the long indicator below it is the led headlamp just like the venue. The grill is missing in this car as its an electric car it do...",4.0,"['looks' 'power' 'price' 'service' 'parts' 'cabin' 'gear' 'headlamp' 'led'
 'torque' 'warranty']",hyundai kona
An amazing car with best design and amazing looks available ,5.0,['looks'],hyundai kona
This is an excellent car. The features are very impressive. The looks are really classic. ,5.0,['looks'],hyundai kona
"Hyundai Kona electric car is very comfortable and secure but the electric range is very low, this car very expensive for a middle-class family. ",4.0,['comfort'],hyundai kona
"I bought this electric car 2 months back, driven 9900 kms until now. It runs 250 kms around with a single charge comfortably with AC on. Then u have to charge for complete peace of mind. Price high but u get 40% depreciation in your ITR for consecutive 4 years which means u haven't paid anything except for insurance and RTO. please make this car wi...",4.0,['comfort' 'power' 'price' 'seat' 'insurance' 'ac' 'lights' 'rear'],hyundai kona
Its new electric car of Hyundai fully loaded with features and best technology. Its seats are very comfortable too.,5.0,['comfort' 'seat'],hyundai kona
"Hyundai Kona is a gem of a car. It has all you can get out of a vehicle. power, balance while driving, comfort, fuel economy, reasonable maintenance, what more you need. First I would like to clarify that this review is entirely based on my experience with the vehicle. Being a mechanical and marine engineer, It was obvious that I had to do complete...",5.0,['comfort' 'engine' 'power' 'experience' 'maintenance'],hyundai kona
"Apart from all the online reviews my personal overall experience of Hyundai Kona was literally very amazing, from interior to exterior, from exploring to driving. Everything is perfect in this car and it provides amazing features at a very competitive price in the market right now. ",4.5,['interior' 'price' 'experience' 'exterior'],hyundai kona
This is a wonderful car. The interior design is the best. The safety features are amazing.,5.0,['interior' 'safety'],hyundai kona
The car is a bit high priced and great in its segment.,5.0,['price'],hyundai kona
The car is high priced when compared with other cars of the same segment.,1.0,['price'],hyundai kona
"Better than all diesel and petrol cars May be this will be the greatest achievement for Hyundai to launch the electric var in India. The price is a little more than fuel cars but according to me, it will be best SUV in India. We indians really need this type of stylish SUV in electric variant.",5.0,['price'],hyundai kona
"Hyundai Kona is better than all diesel and petrol cars. Maybe this will be the greatest achievement for Hyundai to launch the electric car in India. The price is a little more than fuel cars but according to me, it will be the bestest SUV in India. We Indians really need this type of stylish SUV in electric variant and it seems like it will be not ...",5.0,['price'],hyundai kona
"Not worth the money, the price needs to come down for masses. Fast charging a must for anyone to buy.",1.0,['price'],hyundai kona
"Hyundai Kona is a brilliant car! Love the driving experience. I am able to get 9.0 to 10.2km per k/h in the city. Traffic or no traffic, this car rocks. Eco mode works really well. The seat ventilations a great feature as well. Kona is a game-changer in India. Zero road tax and reduced insurance have made this car an absolute winner.",5.0,['seat' 'experience' 'insurance'],hyundai kona
I swear the car is very smooth and quiet. The car has no maintenance because it is electric. And it has features like internet connectivity and other features that all the Hyundai cars have.,5.0,['maintenance'],hyundai kona
This car would be the best selling car in India because of technology and design.,5.0,['sell'],hyundai kona
"Best design, performance, and comfort good car, it goes swiftly, amazing performance, and awesome design.",4.5,['performance' 'comfort'],Kia EV6
"Overall the experience is great, the seating quality of this car is very comfortable and the exterior looks are also good. And the performance of the car is also great. ",4.5,['performance' 'looks' 'comfort' 'exterior' 'experience' 'seat'],Kia EV6
"Very good car with the best performance, best features and best comfortability. This car gives a luxurious feeling and is not much expensive.",4.5,['performance' 'comfort'],Kia EV6
"Looks attractive and the kilometer range is very good. It's very spacious, and a combination of an SUV and sedan is amazing.",5,['looks'],Kia EV6
Good car with smart look and best price. It comes with all facilities in it. Best one in the market. ,5,['looks' 'price'],Kia EV6
Such a nice design in the EV segment. Includes a premium interior and exterior look. Impressive headlamps design.,5,['looks' 'interior' 'exterior' 'headlamp'],Kia EV6
"This all-new EV looks great and is comfy. Great work KIA toward a new world. 0-60 km/h in 5 sec, satisfaction for speed lovers too.",4.5,['looks' 'speed'],Kia EV6
"The car is premium, feels everything is looking rich. The pros: looks are ultra luxury and have excellent range. The cons: the price is too high. ",4.5,['looks' 'price'],Kia EV6
"This is a kind of future generation car present in the present world. Its interior, as well as exterior, are excellent. Its engineering is so nice. Its design is so much attractive and anyone can love it. It is superb.",5,['engine' 'interior' 'exterior'],Kia EV6
Good Car but only value for money under 35-40 lakhs not worth at price of 65lakh and power also feel to low as a normal car and there are some glitches in the software also.,3.5,['power' 'price'],Kia EV6
The overall experience of this new Kia EV6 is loaded with features. The premium quality and feeling with the appropriate price.,4.5,['price' 'experience'],Kia EV6
"More stylish than most mainstream EVs, has athletic and refined driving behavior, comfy and roomy inside. LOWS Infotainment system has some drawbacks, lacks a game-changing driving range, small front trunk space. VERDICT The EV6 is a new entry in the growing EV market, bringing an exciting design and entertaining dynamics. ",4.5,['entertainment' 'infotainment' 'small' 'space'],Kia EV6
Nice car with good build quality and safety. Performance and mileage are too good and easy to drive with low maintenance.,5.0,['mileage' 'performance' 'safety' 'maintenance'],Tata Nexon EV
"Nice performance, full comfort in the car. Very stylish looks. Full Safety, maintenance cost is very low and mileage is good. ",5.0,['mileage' 'performance' 'looks' 'comfort' 'safety' 'maintenance'],Tata Nexon EV
"It is a very good car as compared to other EVs. The Interior is also up to the mark. Its mileage is impressive, and the acceleration is fantastic.",5.0,['mileage' 'interior'],Tata Nexon EV
"I am using the car for more than a year. The car is good and peppy. It looks rich from the inside with great design. The issue is the mileage on a full charge in sports mode is around 125km, and the normal is around 190km. Another thing really really bad is you need to pay Rs3600/year for the Connect app - rip off!! How can you make so mu...",4.0,['mileage' 'looks'],Tata Nexon EV
"Really happy to have Tata Nexon EV. It gives good mileage, charging is easy, and more than that we are contributing to the environment along with Tata. ",5.0,['mileage'],Tata Nexon EV
"Nice mileage, better battery, performance, nice look, stylish body. Best car ever.",5.0,['mileage' 'performance' 'looks'],Tata Nexon EV
"TATA has put in much effort in bringing out the Nexon EV, considering the many downsides associated with fossil-fuelled vehicles. Kudos to that. And whiles the mileage of any car depends on judicious driving, the claimed mileage is way off!!",3.5,['mileage'],Tata Nexon EV
"Amazing pickup, great performance, and also mileage and rang appropriately 240 km which is great.",5.0,['mileage' 'performance' 'pickup'],Tata Nexon EV
"I recently bought this vehicle, but not happy with the mileage that Tata claims, they are making fool out of us. ",2.5,['mileage'],Tata Nexon EV
It is a fantastic car. Mileage 280+km in lightfoot driving. Features and looks are also great.,4.5,['mileage' 'looks'],Tata Nexon EV
"Hindustan ki full safety car, best mileage, full comfortable SUV is smooth for long root drive, music system is best.",5.0,['mileage' 'comfort' 'safety' 'music'],Tata Nexon EV
This is an amazing SUV car. This is a highly safe car. This is also looking good car. The mileage of this car is also good.,5.0,['mileage' 'looks'],Tata Nexon EV
Nexon EV price should be under 10L for top-end variant - Adding extra rage extender battery would be better as a standard feature for all EV vehicles - Battery Swapping technology is a must for EVs for better demand - Govt should announce 100% tax exemption for the purchase of any EVs until 2030 - Mileage limits should be announced by Govt under 1l...,3.5,['mileage' 'price' 'speed'],Tata Nexon EV
"This is the best car in the segment..I'm proud to be its owner. It is the best car in safety, features, mileage, quality, body, and price... I'm proud of tata Motors. The best Indian car manufacturing company... Everyone having the budget to buy this car should never lose the chance to buy it... I personally appreciate this car.and advice to m...",5.0,['mileage' 'price' 'safety'],Tata Nexon EV
"This is a futuristic car. Great looks, awesome mileage and no need to stand in the queue to get petrol, Diesel or CNG. Say no to pollution and do your contribution to decreasing pollution. ",5.0,['mileage' 'looks'],Tata Nexon EV
The best car with good performance in this price range. Its maintenance cost is low. I suggest you if you are looking best electric car please go for it.,4.5,['performance' 'looks' 'price' 'maintenance'],Tata Nexon EV
"My friend has bought this car and when I try to drive it. Such a cool car. Believe me or not this is the revolution in the Indian Electric car segment, both in terms of comfort as well as performance.",4.5,['performance' 'comfort'],Tata Nexon EV
Let me clarify this. Nexon and Tiger EV is the only affordable car for all buyers which gives ample amount of less maintenance as well as performance. Honestly speaking Nexon is a good start from TATA and has a good potential in the market compared with others.,4.5,['performance' 'maintenance'],Tata Nexon EV
It is the best vehicle in the market currently in the EV sector. It has great performance and delivers smooth driving. Its range is also good.,5.0,['performance'],Tata Nexon EV
"A great car considering the other EV options in the market are much more expensive. Brilliant performance, especially in 'S' mode. A realistic range of 210-240kms and depending on your driving style, you can get more. Features are good and it's actually a very practical car for future-oriented people. Solidly built as the ICE Nexon, yet this one fe...",4.5,['performance' 'style' 'torque' 'rear' 'alloy' 'wheel'],Tata Nexon EV
The leader from India grown to be the most globalised product. Very Happy with performance If only the dealership and service centre lives up to the car quality.,4.5,['performance' 'service'],Tata Nexon EV
Very nice car it looks very awesome and its performance is wonderful. It's interior is very nice.,5.0,['performance' 'looks' 'interior'],Tata Nexon EV
The electric vehicles are pollution-free and noiseless. The efficiency and performance of these are good.,4.5,['performance'],Tata Nexon EV
I got this car last week and I am amazed at its performance. The response time is excellent range per full charge is around 200km within the city.,4.5,['performance'],Tata Nexon EV
 Its amazing car with amazing features. It is an affordable car with nice performance.,5.0,['performance'],Tata Nexon EV
"Everything about this car is very appealing, the looks performance and ergonomics. Tata is growing very fast in this segment. The new sharp edge front looks are more attractive than the curvy look it had before. The 30 KW battery is sufficient for city drive but there should have been a higher variant with 50Kw battery to cover up the range anxiety...",4.0,['performance' 'looks'],Tata Nexon EV
Tata is the best company in the world Tata Nexon EV is an electric vehicle I like the feature and all over the performance of the car.,5.0,['performance'],Tata Nexon EV
"The great driving experience, and overall value for money car. Its exterior, looks, interiors, and comfort were also good.",5.0,['looks' 'comfort' 'interior' 'experience' 'exterior'],Tata Nexon EV
"The looks are awesome from the primary colour to the interiors. Seats are too comfortable, lots of space yet little not enough for the whole family. Of course, EV is the best and most sustainable, yet looks so trendy.  Overall awesome. ",4.5,['looks' 'comfort' 'interior' 'seat' 'space'],Tata Nexon EV
The best car by Tata. The only thing I don't like about Nexon. It looks from behind and the best thing is a super affordable electric car.,5.0,['looks'],Tata Nexon EV
"This is the only Electric Vehicle available with reliable latest battery aided technology coupled with safety - both features and builds quality. Added Automatic is a big plus. Looks - 5/5 Pickup/Drag - 5/5 Battery Range - 4/5 Only the slightest flaw I found is the Rotatory knob for shifting driving modes(Eco, City, Sport). Tata should consider thi...",4.5,['looks' 'safety' 'automatic'],Tata Nexon EV
"Tata Nexon EV is one of the best affordable long-range electric vehicle available in India. In sports mode, it has 60% more torque that's a good property of this vehicle. Looks are also good.",3.5,['looks' 'torque'],Tata Nexon EV
"I have booked one, yet to be delivered to me at Bhubaneswar. It's early days to have the cons but real pros are 1. Affordable range nearly 220-240 in reality. 2. Effective run cost Rs1/KM. 3. Price is aggressively kept under 15 lakhs, so subsidy from the state and central Gov't. 4. Almost no maintenance and service cost. 5. Ample cabin space and gr...",5.0,"['looks' 'comfort' 'interior' 'power' 'price' 'maintenance' 'ac' 'speed'
 'seat' 'space' 'clearance' 'warranty' 'cabin' 'parts']",Tata Nexon EV
"Affordable price and nice looks, beautiful smart features most styling and new look multi-drive mode, silent car no noise and vibration in an electric car, projector headlamp, three-color desk board, Rear Ac, auto Ac, Harman infotainment system touch screen, ABS, EBD, CSC these are standard safety features in this car.",5.0,['looks' 'safety' 'ac' 'style' 'noise' 'headlamp' 'infotainment' 'rear'],Tata Nexon EV
"It's look is like a giant legend and features are alike. So many companies are launching and trying to launch electric version with similar features and even more as Tata Motors does but still, they are lagging behind Tata Motors in price, features, timing of introduction, when it is much needed, battery strength that to at such primitive stage and...",5.0,['looks'],Tata Nexon EV
"Very excited for the launch of Tata Nexon EV. Since many years I have been waiting for an Indian Electric car and I think Tata will accomplish my dream. The best thing that I liked about it, is it can be charged with any 15 Ampere plug and can run up to 270 KM. That's cool! Another thing that I liked is that electric technology is coming in Ta...",5.0,['looks'],Tata Nexon EV
