S.No.,State Name,2WN,2WT,2WIC,3WN,3WT,LMV,LPV,LGV,4WIC,MMV,MPV,MGV,HPV,HGV,OTH,Grand Total
1,Andaman and Nicobar Island,2,5.0,,,30.0,86,6.0,,,,,,40.0,,,169
2,Andhra Pradesh,27629,,2.0,374.0,108.0,1050,3.0,166.0,,,,,,,1117.0,30449
3,Arunachal Pradesh,14,,,,,6,1.0,,,,,,,,,21
4,Assam,2287,,,,79661.0,233,5.0,15.0,,,,,15.0,,,82216
5,Bihar,13472,,,2.0,96560.0,231,8.0,21.0,1.0,,,1.0,27.0,2.0,,110325
6,Chandigarh,1004,,,,2683.0,391,2.0,,,,7.0,,73.0,,1.0,4161
7,Chhattisgarh,20112,,,130.0,9865.0,396,44.0,1070.0,,,1.0,,,7.0,367.0,31992
8,Delhi,43627,,2.0,,130429.0,5796,3415.0,50.0,4.0,,2.0,,416.0,,,183741
9,Goa,5555,1.0,,4.0,55.0,861,4.0,25.0,,,,,51.0,1.0,2.0,6559
10,Gujarat,67990,,3.0,32.0,2964.0,3926,91.0,51.0,6.0,2.0,60.0,6.0,364.0,7.0,153.0,75655
11,Haryana,17935,53.0,,,29699.0,425,478.0,118.0,,,2.0,,6.0,10.0,,48726
12,Himachal Pradesh,1190,,,1.0,183.0,69,56.0,2.0,,,2.0,1.0,74.0,5.0,,1583
13,Jammu and Kashmir,3294,,,,2148.0,55,9.0,4.0,,,2.0,,40.0,2.0,,5554
14,Jharkhand,8744,,,,14407.0,212,99.0,11.0,,,,,1.0,12.0,,23486
15,Karnataka,121733,9395.0,7.0,30.0,7105.0,9265,2160.0,103.0,1.0,,,4.0,370.0,5.0,1.0,150179
16,Kerala,38019,35.0,32.0,78.0,4008.0,5746,47.0,37.0,2.0,,1.0,,50.0,,,48055
17,Ladakh,26,,,,,10,,,,,,,8.0,,,44
18,Madhya Pradesh,11623,,,,,169,,,,,,,,,,11792
19,Maharashtra,149977,5.0,4.0,37.0,11334.0,15583,954.0,49.0,1.0,4.0,242.0,,890.0,2.0,5.0,179087
20,Manipur,143,,,,610.0,4,1.0,,,,,1.0,,,,759
21,Meghalaya,35,,,7.0,7.0,20,,2.0,,,,1.0,,,,72
22,Mizoram,34,,,,1.0,3,4.0,,,,,,,2.0,,44
23,Nagaland,50,,,,,6,1.0,,,,,,,3.0,,60
24,Odisha,32223,7.0,1.0,2.0,3638.0,468,44.0,35.0,,,,1.0,10.0,7.0,1.0,36437
25,Puducherry,2569,,,4.0,49.0,97,36.0,9.0,,,,,1.0,,,2765
26,Punjab,12784,,,1.0,8101.0,148,18.0,34.0,,,1.0,2.0,1.0,10.0,3.0,21103
27,Rajasthan,69685,70.0,4.0,,48898.0,2026,58.0,19.0,,,,,2.0,6.0,1.0,120769
28,Sikkim,1,,,,,10,9.0,,,,,,,1.0,,21
29,Tamil Nadu,96601,,2.0,41.0,6885.0,4101,203.0,1406.0,,,,4.0,9.0,15.0,5.0,109272
30,Tripura,196,,,,10708.0,11,1.0,8.0,,,,,,,,10924
31,Dadra and Nagar Haveli and Daman and Diu,126,,,,56.0,31,1.0,2.0,,,,,24.0,2.0,4.0,246
32,Uttar Pradesh,38043,20.0,1.0,1.0,375595.0,518,34.0,81.0,,,51.0,,633.0,,1.0,414978
33,Uttarakhand,7537,7.0,,,30122.0,469,36.0,1.0,,,1.0,,34.0,,,38207
34,West Bengal,9515,,,,42372.0,1305,188.0,20.0,1.0,,49.0,1.0,58.0,7.0,,53516
Grand Total,Grand Total,803775,9598.0,58.0,744.0,918281.0,53727,8016.0,3339.0,16.0,6.0,421.0,22.0,3197.0,106.0,1661.0,1802967
