Sl. No.,State/UT,Circle / Branch,2020-21- Allocation,2021-22 - Allocation,2022-23 - Allocation
1,Uttar Pradesh,Agra,13.0,19.35,20.0
2,Uttar Pradesh,Jhansi,1.0,4.15,7.0
3,Uttar Pradesh,Lucknow,3.88,10.44,17.18
4,Uttar Pradesh,Sarnath,4.38,5.5,8.4
5,Uttar Pradesh,Meerut,0.0,2.8,5.5
6,Maharashtra,Aurangabad,3.16,8.0,17.5
7,Maharashtra,Mumbai,11.0,12.0,14.5
8,Maharashtra,Nagpur,4.0,4.5,5.0
9,Karnataka,Bangalore,5.27,9.75,19.0
10,Karnataka,Hampi,9.1,8.0,10.0
11,Karnataka,Dharwad,6.4,7.32,9.32
12,Madhya Pradesh,Bhopal,11.5,11.5,14.0
13,Madhya Pradesh,Jabalpur,3.5,4.75,7.25
14,Odisha,Bhubaneswar,3.63,8.23,12.0
15,"West Bengal,",Kolkata,6.03,7.67,10.16
16,Sikkim,Raiganj,1.35,5.0,7.0
17,Tamil Nadu and Puducherry (UT),Chennai,5.25,8.0,10.75
18,Tamil Nadu,Trichy,2.0,4.0,8.0
19,Punjab and Haryana,Chandigarh,0.8,1.5,5.83
20,Himachal Pradesh,Shimla,1.25,1.15,8.35
21,Delhi,Delhi,20.82,19.1,30.0
22,(NCT),Delhi Mini Circle,3.69,,
23,Goa,Goa,3.7,7.0,9.75
24,Assam,Guwahati,3.04,3.3,6.84
25,"Manipur, Meghalaya, Mizoram, Nagaland, Tripura and Arunachal Pradesh",Aizawl,1.31,1.25,2.0
26,Rajasthan,Jaipur,7.4,7.53,9.58
27,Rajasthan,Jodhpur,4.1,4.5,7.0
28,Telangana,Hyderabad,2.8,7.0,15.0
29,Andhra Pradesh,Amravati,4.57,5.75,11.0
30,Bihar,Patna,1.23,3.35,8.0
31,Jammu and Kashmir,Srinagar,0.8,2.55,4.2
32,Jammu and Kashmir,Mini Circle Leh,0.2,0.43,1.85
33,Kerala,Thrissure,2.03,6.82,7.5
34,Gujarat and Daman & Diu,Vadodara,6.35,8.0,10.0
35,Gujarat,Rajkot,0.99,2.5,4.0
36,Uttarakhand,Dehradun,4.6,3.75,4.6
37,Chhattisgarh,Raipur,2.89,4.78,7.5
38,Jharkhand,Ranchi,0.88,1.18,2.0
39,Jharkhand,Chemical Preservation (All India),3.82,6.51,9.74
40,Jharkhand,Horticultural Activity (All India),44.75,19.33,
41,Jharkhand,DG Office,44.42,11.74,2.5
42,Jharkhand,Reserve,,0.02,
Total,Total,Total,260.9,270.0,369.76
