name,state,city,address,lattitude,longitude,type
Neelkanth Star DC Charging Station,Haryana,Gurugram,"Neelkanth Star Karnal, NH 44, Gharunda, Kutail, Haryana 132114 ",29.6019,76.9803,12
Galleria DC Charging Station,Haryana,Gurugram,"DLF Phase IV, Sector 28, Gurugram, Haryana 122022",28.4673,77.0818,12
Highway Xpress (Jaipur-Delhi) DC charging station,Rajasthan,Behror,"Jaipur to Delhi Road, Behror Midway, Behror, Rajasthan 301701",27.8751,76.276,12
Food Carnival DC Charging Station,Uttar Pradesh,Khatauli,"Fun and Food Carnival, NH 58, Khatauli Bypass, Bhainsi, Uttar Pradesh 251201",29.3105,77.7218,12
Food Carnival AC Charging Station,Uttar Pradesh,Khatauli,"NH 58, Khatauli Bypass, Bhainsi, Uttar Pradesh 251201",29.3105,77.7218,12
Krishna Hansraj Hotel Una DC charging station ,Himachal Pradesh,Una,"Old Hoshiarpur Rd, Una, Himachal Pradesh 174303",31.4668,76.2568,12
SG Jabli DC Charging Station,Himachal Pradesh,Kasauli,"VPO - Jabli, NH-22, Teh, Kasauli, Himachal Pradesh",30.879,76.9948,12
SG Jabli  AC Charging Station,Himachal Pradesh,Kasauli,"VPO - Jabli, NH-22, Teh, Kasauli, Himachal Pradesh",30.879,76.9948,12
SG Karnal DC Charging Station,Haryana,Karnal,"131 km Milestone, G. T, GT Karnal Rd, near Karna Lake, Karnal, Haryana 132001",29.7379,76.9756,12
SG Karnal AC Charging Station,Haryana,Karnal,"131 km Milestone, G. T, GT Karnal Rd, near Karna Lake, Karnal, Haryana 132001",29.7379,76.9756,12
Neelkanth Star AC charging  station,Haryana,karnal,"Neelkanth Star Karnal, NH 44, Gharunda, Kutail, Haryana 132114 ",29.6019,76.9803,12
Deep Brothers IOCL AC Charging Station,Haryana,Darbaripur,"Deep Brothers, Palra Road, Darbaripur",28.3861,77.0063,12
Synergy Solutions AC Charging Station 2,Maharashtra,Pune,"Synergy Solutions, Shop No 9 , Modak Prasad, 410, Narayan Peth,Pune",18.538,73.8485,12
IOCL Rajokri Station,Delhi,New Delhi,"NH 8 Exit 4, Samalka, New Delhi, Delhi 110037",28.5248,77.101,12
VEEV A2B Kallar,Tamil Nadu,Mettupalayam,"A2B, Kallar Road, Mettupalayam, Tamil Nadu",11.3217,76.9163,12
VEEV Sathya Nursery,Tamil Nadu,Mettupalayam,"Kallar, Mettupalayam, Tamil Nadu",11.33,76.9027,12
IOCL Nehru Nagar Station,Delhi,New Delhi,"10-C, Nehru Nagar, Ring Rd, near Lajpat Nagar, New Delhi, Delhi 110065",28.5682,77.2531,12
IOCL Mathura Road,Delhi,New Delhi,"No A12, Mathura Rd, near Telephone Exchange, Friends Colony East, New Delhi, Delhi 110025",28.566,77.2664,12
IOCL Chahar AC Charging Station,Haryana,Gurugram,"Basai Rd, Vikas Nagar, Sector 9, Gurugram, Haryana 122018",28.456,77.001,12
Kothari Enterprises  AC1,Maharashtra,Khopoli,"Kothari Brothers, Laxminagar, Khopoli, Maharashtra 410203",18.7876,73.3475,12
Windlass River Valley AC Charging Station,Uttarakhand,Dehradun,"Windlass River Valley, Harrawala/Kuanwala, Haridwar Road, NH-72, Dehradun, Uttarakhand 248005",30.2482,78.0961,12
Mindra Polar International AC Station,Gujarat,Ahmedabad,"Rahul Tower, 4,Vraj Vihar -6 B/H, Prernatirth Derasar Rd, Satellite, Ahmedabad, Gujarat 380015",23.0158,72.5178,12
Lonavla Wax Museum DC Charging Station,Maharashtra,Lonavla,"69/1 near Lonavla College, opp. neeta volvo, Valvan, Lonavla, Maharashtra 410403 M-9766666469",18.763,73.4252,12
Heritage City AC Charging Station,Haryana,Gurugram,"Heritage City 581-600 Flats, Heritage City, Sector 25, Gurugram, Haryana 122022",28.4823,77.0766,12
Hotel Fairmont Jaipur AC Station,Rajasthan,Kukas,"Hotel Fairmont Jaipur, Riico, 2, Jaipur Engineering College Rd, Kukas, Rajasthan 302028",27.0307,75.8899,12
The Westin Pushkar AC Charger,Rajasthan,Pushkar,"The Westin Pushkar Resort & Spa, Khasra No. 1242 1243, 1196/1726, Village Surajkund, Motisar Rd, Pushkar, Rajasthan 305022",26.4547,74.5046,12
WeWork Circle Demo,Haryana,Gurugram,"4th Floor, The Galaxy Hotel, Behind 32nd Milestone Off NH 8, Sector 15, Gurugram, Haryana 122001",28.4632,77.049,12
Karma Lakelands AC Charger,Haryana,Gurugram,"Karma Lakeland, NH-8, Sector 80, Gurugram, Haryana 122002",28.3639,76.9607,12
Statiq RnD Centre AC Charging Station,Haryana,Gurgaon,"Statiq RnD Centre, Plot 80A, Phase V, Udyog Vihar, Sector 19, Gurugram, Haryana 122017",28.4997,77.0839,12
JMD Gardens,Haryana,Gurugram,"Unnamed Road, Sector 33, Gurugram, Haryana 122018",28.4336,77.0349,12
Mindra Crispy Culture AC Charging Station,Gujarat,Ahmedabad,"Narayan Nagar Society, Narayan Nagar, Ahmedabad, Gujarat 380007",22.9989,72.5594,12
IOCL Dhaula Kuan Charging Station,Delhi,New Delhi,"Ring Rd, opposite Gurudwara, Smriti Vatika, North West Moti Bagh, New Delhi, Delhi 110021",28.5874,77.1713,12
Tellus Power DC Charging Station,Maharashtra,Pune,"AH47, Maharashtra 415406",17.0749,74.2227,12
RSTV Charging Hub Meerut,Uttar Pradesh,Meerut,"Meerut, Uttar Pradesh 250001",28.9955,77.7057,12
Synergy Solutions AC Charging Station 1,Maharashtra,Pune,"office 9. Modak Prasad ,Oppo Rastrabhasha Bhavan",18.5145,73.8489,12
Inspacco Circle Station,Maharashtra,Pune,"Shreenath Society, Veerbhadra Nagar, Baner, Pune, Maharashtra 411045",18.5619,73.7718,12
Circle Test Station Goa,Goa,Pune,"Isidorio Baptista Rd, Pajifond, Margao, Goa 403601",15.2735,73.959,12
Mindra D S Fasteners Charging Station,Gujarat,Pune,"National Highway 27 (8B), Opp. 80 ft. Road End, Opp. K.S. Diesels, Rajkot-360 003, Gujarat, India",22.473,70.895,12
HP Mira Bhayandar DC Charging Station,Maharashtra,Mira Bhayandar,"NH-8, Mashachapada, Mira Road, Mira Bhayandar, Maharashtra",19.2747,72.8856,12
