Category: All categories

Region,Electric vehicle: (01/01/2004 - 03/09/2023)
Tamil Nadu,100
Karnataka,97
Haryana,88
Goa,85
Maharashtra,85
Puducherry,84
Telangana,81
Kerala,81
Gujarat,74
Dadra and Nagar Haveli,71
Andhra Pradesh,67
Sikkim,67
Odisha,65
Chhattisgarh,64
Uttarakhand,64
Andaman and Nicobar Islands,62
Jharkhand,61
Tripura,55
Delhi,48
Himachal Pradesh,47
Meghalaya,45
Rajasthan,43
Uttar Pradesh,43
Arunachal Pradesh,42
Nagaland,40
Madhya Pradesh,40
Punjab,38
Jammu & Kashmir,38
West Bengal,34
Assam,33
Mizoram,33
Manipur,29
Bihar,24
Chandigarh,23
Daman and Diu,
Lakshadweep,
