Category: All categories

Month,Electric vehicle: (India)
2004-01,73
2004-02,0
2004-03,100
2004-04,0
2004-05,0
2004-06,49
2004-07,0
2004-08,31
2004-09,18
2004-10,68
2004-11,0
2004-12,0
2005-01,52
2005-02,39
2005-03,0
2005-04,25
2005-05,17
2005-06,32
2005-07,0
2005-08,0
2005-09,45
2005-10,40
2005-11,0
2005-12,0
2006-01,33
2006-02,0
2006-03,0
2006-04,14
2006-05,0
2006-06,15
2006-07,14
2006-08,0
2006-09,33
2006-10,0
2006-11,0
2006-12,14
2007-01,16
2007-02,21
2007-03,0
2007-04,14
2007-05,19
2007-06,22
2007-07,19
2007-08,16
2007-09,23
2007-10,16
2007-11,18
2007-12,10
2008-01,16
2008-02,36
2008-03,14
2008-04,14
2008-05,10
2008-06,24
2008-07,12
2008-08,16
2008-09,20
2008-10,25
2008-11,16
2008-12,14
2009-01,8
2009-02,21
2009-03,22
2009-04,11
2009-05,16
2009-06,13
2009-07,12
2009-08,19
2009-09,17
2009-10,9
2009-11,13
2009-12,11
2010-01,5
2010-02,8
2010-03,11
2010-04,7
2010-05,11
2010-06,17
2010-07,11
2010-08,9
2010-09,11
2010-10,12
2010-11,11
2010-12,9
2011-01,11
2011-02,11
2011-03,11
2011-04,8
2011-05,8
2011-06,5
2011-07,9
2011-08,11
2011-09,7
2011-10,10
2011-11,8
2011-12,10
2012-01,8
2012-02,9
2012-03,10
2012-04,8
2012-05,7
2012-06,10
2012-07,7
2012-08,8
2012-09,11
2012-10,7
2012-11,5
2012-12,5
2013-01,8
2013-02,9
2013-03,9
2013-04,7
2013-05,7
2013-06,4
2013-07,5
2013-08,8
2013-09,8
2013-10,9
2013-11,8
2013-12,6
2014-01,6
2014-02,9
2014-03,7
2014-04,6
2014-05,6
2014-06,5
2014-07,8
2014-08,8
2014-09,7
2014-10,6
2014-11,7
2014-12,7
2015-01,8
2015-02,8
2015-03,8
2015-04,8
2015-05,5
2015-06,6
2015-07,6
2015-08,6
2015-09,7
2015-10,7
2015-11,6
2015-12,8
2016-01,9
2016-02,10
2016-03,8
2016-04,10
2016-05,6
2016-06,6
2016-07,7
2016-08,7
2016-09,8
2016-10,5
2016-11,9
2016-12,6
2017-01,8
2017-02,9
2017-03,9
2017-04,8
2017-05,9
2017-06,8
2017-07,8
2017-08,12
2017-09,17
2017-10,17
2017-11,17
2017-12,16
2018-01,16
2018-02,17
2018-03,16
2018-04,13
2018-05,13
2018-06,13
2018-07,13
2018-08,14
2018-09,17
2018-10,15
2018-11,15
2018-12,15
2019-01,16
2019-02,16
2019-03,17
2019-04,14
2019-05,15
2019-06,18
2019-07,36
2019-08,29
2019-09,31
2019-10,35
2019-11,27
2019-12,31
2020-01,33
2020-02,34
2020-03,24
2020-04,19
2020-05,22
2020-06,21
2020-07,21
2020-08,29
2020-09,27
2020-10,28
2020-11,28
2020-12,32
2021-01,40
2021-02,55
2021-03,53
2021-04,37
2021-05,36
2021-06,54
2021-07,65
2021-08,57
2021-09,57
2021-10,57
2021-11,60
2021-12,55
2022-01,66
2022-02,69
2022-03,70
2022-04,64
2022-05,54
2022-06,49
2022-07,48
2022-08,51
2022-09,55
2022-10,60
2022-11,49
2022-12,54
2023-01,55
2023-02,60
2023-03,53
2023-04,52
2023-05,45
2023-06,52
2023-07,53
2023-08,51
