region,category,parameter,mode,powertrain,year,unit,value
Australia,Historical,EV stock,Cars,BEV,2011,Vehicles,49
Australia,Historical,EV stock share,Cars,EV,2011,percent,0.0004600000102072954
Australia,Historical,EV sales share,Cars,EV,2011,percent,0.006500000134110451
Australia,Historical,EV sales,Cars,BEV,2011,Vehicles,49
Australia,Historical,EV sales,Cars,BEV,2012,Vehicles,170
Australia,Historical,EV sales share,Cars,EV,2012,percent,0.029999999329447746
Australia,Historical,EV stock share,Cars,EV,2012,percent,0.00279999990016222
Australia,Historical,EV stock,Cars,BEV,2012,Vehicles,220
Australia,Historical,EV stock,Cars,PHEV,2012,Vehicles,80
Australia,Historical,EV sales,Cars,PHEV,2012,Vehicles,80
Australia,Historical,EV sales,Cars,PHEV,2013,Vehicles,100
Australia,Historical,EV stock,Cars,PHEV,2013,Vehicles,180
Australia,Historical,EV stock,Cars,BEV,2013,Vehicles,410
Australia,Historical,EV stock share,Cars,EV,2013,percent,0.005400000140070915
Australia,Historical,EV sales share,Cars,EV,2013,percent,0.03400000184774399
Australia,Historical,EV sales,Cars,BEV,2013,Vehicles,190
Australia,Historical,EV sales,Cars,BEV,2014,Vehicles,370
Australia,Historical,EV sales share,Cars,EV,2014,percent,0.1599999964237213
Australia,Historical,EV stock share,Cars,EV,2014,percent,0.017000000923871994
Australia,Historical,EV stock,Cars,BEV,2014,Vehicles,780
Australia,Historical,EV stock,Cars,PHEV,2014,Vehicles,1100
Australia,Historical,EV sales,Cars,PHEV,2014,Vehicles,950
Australia,Historical,EV sales,Cars,PHEV,2015,Vehicles,1000
Australia,Historical,EV stock,Cars,PHEV,2015,Vehicles,2100
Australia,Historical,EV stock,Cars,BEV,2015,Vehicles,1500
Australia,Historical,EV stock share,Cars,EV,2015,percent,0.03200000151991844
Australia,Historical,EV sales share,Cars,EV,2015,percent,0.20000000298023224
Australia,Historical,EV sales,Cars,BEV,2015,Vehicles,760
Australia,Historical,EV sales,Cars,BEV,2016,Vehicles,670
Australia,Historical,EV sales share,Cars,EV,2016,percent,0.15000000596046448
Australia,Historical,EV stock share,Cars,EV,2016,percent,0.0430000014603138
Australia,Historical,EV stock,Cars,BEV,2016,Vehicles,2200
Australia,Historical,EV stock,Cars,PHEV,2016,Vehicles,2800
Australia,Historical,EV sales,Cars,PHEV,2016,Vehicles,700
Australia,Historical,EV sales,Cars,PHEV,2017,Vehicles,1100
Australia,Historical,EV stock,Cars,PHEV,2017,Vehicles,3900
Australia,Historical,EV stock,Cars,BEV,2017,Vehicles,3400
Australia,Historical,EV sales,Cars,BEV,2017,Vehicles,1200
Australia,Historical,EV stock share,Cars,EV,2017,percent,0.061000000685453415
Australia,Historical,EV sales share,Cars,EV,2017,percent,0.25999999046325684
Australia,Historical,EV sales share,Cars,EV,2018,percent,0.41999998688697815
Australia,Historical,EV stock share,Cars,EV,2018,percent,0.08900000154972076
Australia,Historical,EV sales,Cars,BEV,2018,Vehicles,1800
Australia,Historical,EV stock,Cars,BEV,2018,Vehicles,5200
Australia,Historical,EV stock,Cars,PHEV,2018,Vehicles,5700
Australia,Historical,EV sales,Cars,PHEV,2018,Vehicles,1800
Australia,Historical,EV sales,Cars,PHEV,2019,Vehicles,2900
Australia,Historical,EV stock,Cars,PHEV,2019,Vehicles,8600
Australia,Historical,EV stock,Cars,BEV,2019,Vehicles,12000
Australia,Historical,EV sales,Cars,BEV,2019,Vehicles,6300
Australia,Historical,EV stock share,Cars,EV,2019,percent,0.1599999964237213
Australia,Historical,EV sales share,Cars,EV,2019,percent,1.2000000476837158
Australia,Historical,EV sales share,Cars,EV,2020,percent,1.100000023841858
Australia,Historical,EV stock share,Cars,EV,2020,percent,0.2199999988079071
Australia,Historical,EV sales,Cars,BEV,2020,Vehicles,5200
Australia,Historical,EV stock,Cars,BEV,2020,Vehicles,17000
